pose_name,url
Stim_uparam_13_Viewpoint_3_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ddoe6HQyfvokyV0
Stim_uparam_130_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eJUlZDFpphKI7Ay
Stim_uparam_130_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6xTWOB4v7a6jSLk
Stim_uparam_130_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4NMsRNY1bYDWbmS
Stim_uparam_132_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2n5cnQl9SUQOMrs
Stim_uparam_132_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6MuOr1h4M9O0VtI
Stim_uparam_132_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_74e8DZF7PUrmw5w
Stim_uparam_134_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9AyztAEcvm6Vppc
Stim_uparam_134_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8015QvtfvQNiCWO
Stim_uparam_134_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_20sSzpupyjglbwO
Stim_uparam_135_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1GOiuxpMEiFgXdQ
Stim_uparam_135_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1AhXBWmYckHgVv0
Stim_uparam_135_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0GjpKGUOHcKBd7U
Stim_uparam_136_Viewpoint_1_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0CE8sJxuSUXRRrM
Stim_uparam_136_Viewpoint_2_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b8h95ZW7KUfVzTg
Stim_uparam_136_Viewpoint_3_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KcqdaUqBJSZTlc
Stim_uparam_137_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_emOXHZy7CBrbcG2
Stim_uparam_137_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1RoGYp65qdYvdQy
Stim_uparam_137_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4NkgyAbZ89MsM7A
Stim_uparam_138_Viewpoint_1_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a042wpwr8e9lYmG
Stim_uparam_138_Viewpoint_2_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3vYWPU1CpJ2g2V0
Stim_uparam_138_Viewpoint_3_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6nZTCzBWmUwoAfA
Stim_uparam_140_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dmKCeG9noKBJRj0
Stim_uparam_140_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e9XjABZOYpANyoC
Stim_uparam_140_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEPltSlAIJwwru6
Stim_uparam_141_Viewpoint_1_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5hGYwWCGqc5HkfI
Stim_uparam_141_Viewpoint_2_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5bx9BNZULGgisnA
Stim_uparam_141_Viewpoint_3_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a9vp7H2B9J8hlUq
Stim_uparam_143_Viewpoint_1_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eM9pffAOhuChORw
Stim_uparam_143_Viewpoint_2_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_85LpEcVcXSL3SyG
Stim_uparam_143_Viewpoint_3_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0dpRjtvsQQAyzfU
Stim_uparam_145_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cBhDhVYeN9Gs2xM
Stim_uparam_145_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3eNnEraizrQzT2S
Stim_uparam_145_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cNHlyIL7J5fH25w
Stim_uparam_146_Viewpoint_1_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3rxM8DRMsM31sHk
Stim_uparam_146_Viewpoint_2_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9ZTly3KXGpgSUFo
Stim_uparam_146_Viewpoint_3_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0VO2cXeQte25fXo
Stim_uparam_15_Viewpoint_1_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ehRZb3ucvh7HIUu
Stim_uparam_15_Viewpoint_2_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6DSPStgWj2tlJA2
Stim_uparam_15_Viewpoint_3_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eVym6XIz2G27Ors
Stim_uparam_150_Viewpoint_1_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cAOxd2FfaOEltxc
Stim_uparam_150_Viewpoint_2_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cByZf4WXGRbdWey
Stim_uparam_150_Viewpoint_3_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e2JM8beJchnAz7E
Stim_uparam_151_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6ze4mxaVhmOYZg2
Stim_uparam_151_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_erZuzmi3am3yc2a
Stim_uparam_151_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1KXuzIRAdPGcaV0
Stim_uparam_154_Viewpoint_1_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_em30qlqnrxpreJw
Stim_uparam_154_Viewpoint_2_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b2wQg5qboi7oAvk
Stim_uparam_154_Viewpoint_3_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3aBillj4uK4kdqS
Stim_uparam_155_Viewpoint_1_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9yjpso099oCqKkS
Stim_uparam_155_Viewpoint_2_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cBnbar6dCaBKsBg
Stim_uparam_155_Viewpoint_3_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8DpPDIZn4BAPcXk
Stim_uparam_156_Viewpoint_1_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eLoX0wrp59VUbz0
Stim_uparam_156_Viewpoint_2_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b8zNLQ1DkpfIeRo
Stim_uparam_156_Viewpoint_3_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oA1xdU5Ev8lGJg
Stim_uparam_157_Viewpoint_1_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6MewzAwOjTfYV9k
Stim_uparam_157_Viewpoint_2_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3Rd80IbXFroh46W
Stim_uparam_157_Viewpoint_3_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5BZH3ImXYkVs61g
Stim_uparam_158_Viewpoint_1_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9tvcimIbbATT9em
